pair,trips,toolong,average
31036to31033,53,0,553
31036to31034,30,2,442
31036to31035,7,0,573
31036to31037,468,8,302
31036to31038,154,5,227
31036to31039,51,2,493
31036to31040,9,0,364
31036to31042,10,0,3371
31036to31044,2,0,3905
31036to31049,23,0,381
31036to31050,7,0,732
31036to31051,3,0,1215
31036to31053,1,0,1667
31036to31055,2,0,1620
31036to31057,7,0,2016
31036to31058,2,0,925
31036to31059,4,0,1443
31036to31060,20,0,1724
31036to31063,16,0,1288
31036to31069,4,0,516
31036to31100,2,0,2053
31036to31204,1,0,1606
31036to31211,1,0,1849
31036to31220,5,0,1840
31036to31221,5,0,1967
31036to31222,1,0,1764
31036to31228,11,0,2398
31036to31230,21,0,2180
31036to31233,2,0,2434
31036to31236,3,0,1312
31036to31237,3,0,1631
31036to31241,4,0,3185
31036to31242,4,0,1564
31036to31243,1,0,3960
31036to31246,8,0,1347
31036to31255,1,0,1392
31036to31256,2,0,2189
31036to31257,1,0,2159
31036to31258,4,0,1548
31036to31260,1,0,1548
31036to31261,1,0,1673
31036to31262,5,0,2180
31036to31623,1,0,3914
31037to31002,1,0,2681
31037to31006,1,0,2311
31037to31010,1,0,2375
31037to31011,1,0,3351
31037to31014,88,2,1144
31037to31015,237,0,899
31037to31016,48,0,966
31037to31017,257,0,742
31037to31018,30,0,849
31037to31019,58,2,626
31037to31020,143,1,655
31037to31021,160,3,581
31037to31022,156,2,510
31037to31023,232,6,416
31037to31024,254,10,241
31037to31025,125,5,237
31037to31026,90,2,552
31037to31027,39,0,1096
31037to31028,25,0,764
31037to31029,9,0,915
31037to31030,26,1,845
31037to31031,93,1,769
31037to31032,14,0,709
31037to31033,82,1,240
31037to31034,31,5,156
31037to31035,174,7,301
31037to31036,491,9,322
31037to31038,595,9,221
31037to31039,153,12,162
31037to31040,55,8,265
31037to31047,2,0,2744
31037to31049,84,2,156
31037to31050,117,0,575
31037to31051,5,0,1026
31037to31053,25,0,1291
31037to31054,1,0,1087
31037to31055,7,0,1400
31037to31056,1,0,1050
31037to31057,2,0,1734
31037to31058,9,0,1247
31037to31060,2,0,1618
31037to31061,2,1,1300
31037to31062,8,0,782
31037to31063,10,0,1700
31037to31065,5,0,791
31037to31066,2,0,1337
31037to31067,7,0,1180
31037to31068,2,0,1108
31037to31069,30,0,464
31037to31105,1,0,3007
31037to31110,2,0,2084
31037to31116,1,0,2359
31037to31117,3,0,2789
31037to31200,6,0,2931
31037to31201,1,0,2695
31037to31202,3,0,2121
31037to31205,3,0,1635
31037to31206,1,0,1680
31037to31209,1,0,2438
31037to31212,5,0,1939
31037to31213,1,0,1879
31037to31214,1,0,1872
31037to31215,20,0,1567
31037to31220,3,0,1443
31037to31224,1,0,1617
31037to31225,20,0,1490
31037to31227,1,0,2037
31037to31231,3,0,2721
31037to31233,1,0,1558
31037to31234,1,0,1690
31037to31235,1,0,1498
31037to31236,6,0,1519
31037to31237,12,0,1671
31037to31241,2,0,2489
31037to31245,1,0,2473
31037to31246,24,0,1496
31037to31247,1,0,2763
31037to31249,3,0,2513
31037to31250,3,0,1987
31037to31252,1,0,1760
31037to31254,2,0,4326
31037to31255,23,0,1452
31037to31256,1,0,3577
31037to31257,2,0,1543
31037to31258,3,0,1431
31037to31261,1,0,1927
31037to31263,1,0,2525
31037to31312,3,0,1517
31037to31400,1,0,2975
31037to31620,1,0,2843
31038to31014,15,0,1303
31038to31015,5,0,1134
31038to31016,11,0,1008
31038to31017,25,0,880
31038to31018,1,0,946
31038to31019,3,0,808
31038to31020,30,0,752
31038to31021,73,0,582
31038to31022,16,0,741
31038to31023,57,1,538
31038to31024,72,0,356
31038to31025,24,1,339
31038to31026,22,0,575
31038to31027,17,0,1072
31038to31028,7,0,977
31038to31029,1,0,955
31038to31030,1,0,889
31038to31031,28,0,895
31038to31032,2,0,695
31038to31033,18,0,401
31038to31034,107,2,248
31038to31035,41,1,506
31038to31036,165,2,231
31038to31037,545,7,212
31038to31039,54,3,356
31038to31040,8,5,153
31038to31049,15,2,104
31038to31050,17,0,853
31038to31051,3,0,1083
31038to31053,15,0,1125
31038to31057,9,0,1485
31038to31058,1,0,2079
31038to31060,9,0,1570
31038to31063,1,0,1776
31038to31108,1,0,2267
31038to31112,1,0,2714
31038to31203,1,0,2040
31038to31208,1,0,2625
31038to31210,1,0,1950
31038to31215,7,0,1669
31038to31225,8,0,1333
31038to31229,1,0,1385
31038to31233,1,0,1838
31038to31236,6,0,1662
31038to31237,1,0,1593
31038to31238,1,0,3193
31038to31240,1,0,1499
31038to31246,4,0,1642
31038to31249,1,0,1908
31038to31251,2,0,2178
31038to31255,1,0,1545
31038to31257,1,0,2009
31038to31258,5,0,1732
31038to31310,1,0,3148
31038to31506,1,0,2859
31038to31603,1,0,4167
31038to31605,1,0,3767
31038to31610,1,0,3465
31038to31623,5,0,3145
31038to31624,15,0,2918
31038to31627,1,0,3206
31038to31628,64,0,2471
31039to31001,2,0,1224
31039to31005,2,0,2103
31039to31006,1,0,1357
31039to31014,40,0,949
31039to31015,29,0,871
31039to31016,45,0,850
31039to31017,162,0,639
31039to31018,20,0,762
31039to31019,28,0,605
31039to31020,43,1,589
31039to31021,64,0,515
31039to31022,76,3,471
31039to31023,133,2,334
31039to31024,513,44,139
31039to31025,90,3,146
31039to31026,32,0,453
31039to31027,21,0,839
31039to31028,16,0,881
31039to31029,51,0,841
31039to31030,13,0,782
31039to31031,40,2,761
31039to31032,7,0,545
31039to31033,48,9,154
31039to31034,27,5,131
31039to31035,78,13,156
31039to31036,56,0,464
31039to31037,230,16,150
31039to31038,57,0,338
31039to31040,40,1,272
31039to31049,195,3,275
31039to31050,41,1,598
31039to31051,6,0,907
31039to31053,3,0,1140
31039to31054,2,0,1938
31039to31057,11,0,1050
31039to31058,5,0,881
31039to31060,4,0,1532
31039to31061,15,0,1104
31039to31063,2,0,1104
31039to31065,6,0,875
31039to31069,21,0,354
31039to31117,1,0,1948
31039to31200,4,0,1744
31039to31205,1,0,1557
31039to31209,9,0,2223
31039to31213,1,0,1546
31039to31215,6,0,1480
31039to31225,15,1,1339
31039to31230,1,0,1943
31039to31236,3,0,1523
31039to31237,10,0,1293
31039to31241,1,0,1585
31039to31246,5,0,1407
31039to31247,1,0,1732
31039to31249,18,0,1683
31039to31252,2,0,1557
31039to31257,1,0,1687
31039to31258,7,0,1692
31039to31260,1,0,1819
31039to31261,1,0,1728
31039to31312,1,0,1718
31040to31006,3,0,1481
31040to31007,1,0,2133
31040to31014,29,0,1108
31040to31015,51,0,762
31040to31016,16,0,737
31040to31017,29,1,664
31040to31018,7,0,602
31040to31019,19,2,533
31040to31020,19,1,510
31040to31021,41,1,437
31040to31022,53,1,392
31040to31023,37,16,185
31040to31024,71,17,113
31040to31025,25,1,239
31040to31026,23,4,362
31040to31027,22,0,839
31040to31028,10,2,677
31040to31029,3,0,723
31040to31030,23,0,573
31040to31031,55,0,728
31040to31032,7,0,483
31040to31033,17,2,214
31040to31034,77,1,207
31040to31035,40,0,379
31040to31036,13,2,308
31040to31037,68,26,242
31040to31038,17,11,96
31040to31039,40,1,258
31040to31049,79,37,319
31040to31050,22,0,384
31040to31051,22,0,573
31040to31053,27,0,1118
31040to31056,2,0,3397
31040to31059,1,0,1648
31040to31065,3,0,711
31040to31069,4,0,596
31040to31200,5,0,2146
31040to31211,2,0,1368
31040to31215,1,0,1538
31040to31224,2,0,2514
31040to31225,2,0,1435
31040to31231,2,0,1655
31040to31236,7,0,1145
31040to31237,2,0,1219
31040to31245,1,0,2319
31040to31246,1,0,1388
31040to31256,2,0,2697
31040to31257,8,0,1517
31040to31261,1,0,1205
31040to31400,1,0,2658
31040to31504,1,0,4319
31040to31616,2,0,2127
31040to31623,2,0,1761
31040to31631,1,0,2139
31041to31000,1,0,1409
31041to31001,2,0,1538
31041to31002,36,0,1844
31041to31003,5,0,1982
31041to31004,1,0,2118
31041to31005,3,0,1767
31041to31006,4,0,1556
31041to31007,6,0,1714
31041to31008,2,0,2400
31041to31009,4,0,1547
31041to31010,48,0,1492
31041to31011,4,0,1897
31041to31012,3,0,1918
31041to31013,3,0,2227
31041to31014,7,0,3092
31041to31042,83,22,180
31041to31043,63,7,476
31041to31044,35,3,408
31041to31045,33,1,615
31041to31046,15,2,463
31041to31047,49,3,816
31041to31048,201,7,688
31041to31052,7,0,1775
31041to31055,9,0,1521
31041to31063,1,0,3198
31041to31100,2,0,3316
31041to31108,1,0,2836
31041to31206,1,0,2615
31041to31212,1,0,4316
31041to31219,1,0,3803
31041to31221,1,0,4974
31041to31225,5,0,4474
31041to31234,1,0,3382
31041to31235,22,0,2855
31041to31237,3,0,3957
31041to31240,2,0,4056
31041to31242,3,0,3116
31041to31249,28,0,2302
31041to31258,4,0,3244
31041to31264,1,0,4619
31041to31603,1,0,4289
31041to31628,2,0,3379
31042to31001,1,0,1582
31042to31002,12,0,2095
31042to31003,2,0,1552
31042to31006,2,0,2315
31042to31007,2,0,1598
31042to31009,5,0,1612
31042to31010,31,0,1428
31042to31011,9,0,1731
31042to31012,6,0,1439
31042to31013,2,0,1424
31042to31014,2,0,3686
31042to31016,1,0,3576
31042to31036,1,0,3943
31042to31041,106,27,146
31042to31043,192,15,259
31042to31044,92,5,249
31042to31045,77,6,358
31042to31046,61,1,474
31042to31047,309,2,570
31042to31048,635,10,505
31042to31055,1,0,1319
31042to31060,2,0,1793
31042to31061,1,0,1535
31042to31101,2,0,3677
31042to31201,1,0,3464
31042to31206,1,0,3434
31042to31209,1,0,2955
31042to31215,2,0,3728
31042to31225,2,0,5069
31042to31230,1,0,4262
31042to31236,2,0,5258
31042to31237,3,0,3717
31042to31240,2,0,2147
31042to31247,2,0,3235
31042to31249,28,0,2187
31042to31257,2,0,4113
31042to31258,4,0,4082
31042to31261,1,0,2517
31042to31264,1,0,2662
31042to31265,2,0,3706
31042to31600,1,0,3141
31042to31603,2,0,3779
31042to31618,1,0,3121
31042to31621,1,0,2928
31042to31625,1,0,4681
31043to31000,3,0,1430
31043to31001,6,0,1427
31043to31002,23,0,1726
31043to31003,6,0,1352
31043to31005,1,0,1770
31043to31007,1,0,1753
31043to31008,4,0,1914
31043to31009,5,0,1330
31043to31010,26,0,1174
31043to31011,6,0,1284
31043to31012,2,0,1094
31043to31014,4,0,3378
31043to31015,1,0,3358
31043to31022,1,0,4190
31043to31041,78,27,451
31043to31042,200,10,285
31043to31044,180,7,334
31043to31045,80,0,424
31043to31046,63,4,214
31043to31047,519,6,334
31043to31048,96,8,649
31043to31052,3,0,1300
31043to31055,1,0,1764
31043to31057,2,0,1521
31043to31059,1,0,1495
31043to31060,8,0,1629
31043to31063,1,0,2147
31043to31101,1,0,3875
31043to31108,1,0,2077
31043to31207,1,0,6056
31043to31215,1,0,7213
31043to31217,1,0,3881
31043to31225,1,0,2664
31043to31236,1,0,3352
31043to31243,1,0,2757
31043to31246,1,0,4031
31043to31249,36,0,1809
31043to31258,1,0,2231
31043to31609,1,0,1988
31043to31612,1,0,3218
31043to31618,1,0,2566
31044to31000,1,0,1718
31044to31002,5,0,1779
31044to31003,1,0,2025
31044to31005,1,0,2298
31044to31007,1,0,1178
31044to31009,14,0,1163
31044to31010,10,0,1365
31044to31011,3,0,1562
31044to31012,1,0,1191
31044to31013,7,0,1651
31044to31041,100,6,370
31044to31042,113,17,250
31044to31043,120,9,344
31044to31045,29,4,130
31044to31046,59,6,277
31044to31047,191,4,398
31044to31048,776,35,308
31044to31055,8,0,1184
31044to31060,1,0,2058
31044to31101,5,0,4020
31044to31214,1,0,4199
31044to31215,1,0,2874
31044to31220,2,0,4323
31044to31229,10,0,3705
31044to31247,1,0,3835
31044to31249,3,0,2223
31044to31258,3,0,3959
31044to31268,1,0,3610
31044to31406,1,0,3845
31044to31628,1,0,3550
31044to31631,1,0,4151
31044to31800,1,0,2921
31045to31002,8,0,1497
31045to31009,6,0,1354
31045to31010,5,0,1219
31045to31013,1,0,1384
31045to31041,52,1,518
31045to31042,96,8,342
31045to31043,62,2,467
31045to31044,40,7,129
31045to31046,35,0,224
31045to31047,90,1,332
31045to31048,283,5,236
31045to31052,2,0,1058
31045to31055,2,0,978
31045to31064,1,0,1442
31045to31214,1,0,2966
31045to31249,3,0,2856
31045to31600,1,0,3625
31046to31001,5,0,1393
31046to31002,83,0,1353
31046to31003,1,0,2061
31046to31006,1,0,1749
31046to31007,15,0,1433
31046to31009,42,0,1150
31046to31010,11,0,1338
31046to31011,4,0,1288
31046to31012,3,0,1218
31046to31013,1,0,1153
31046to31014,1,0,3681
31046to31015,1,0,4146
31046to31027,1,0,3409
31046to31041,29,0,849
31046to31042,66,4,471
31046to31043,56,6,232
31046to31044,95,6,280
31046to31045,53,1,232
31046to31047,211,11,158
31046to31048,41,0,538
31046to31054,1,0,3318
31046to31055,3,0,1380
31046to31056,1,0,1286
31046to31059,1,0,1441
31046to31106,1,0,3347
31046to31111,1,0,3597
31046to31209,1,0,2930
31046to31210,2,0,2245
31046to31225,1,0,4468
31046to31231,1,0,2302
31046to31232,1,0,2535
31046to31235,1,0,2505
31046to31240,2,0,1871
31046to31249,8,0,1834
31046to31258,1,0,2035
31046to31262,1,0,2924
31046to31307,1,0,4328
31046to31312,1,0,3286
31046to31610,1,0,3001
31046to31628,1,0,2266
31047to31001,2,0,1489
31047to31002,18,0,1265
31047to31003,3,0,1242
31047to31006,4,0,1603
31047to31007,4,0,1345
31047to31009,7,0,952
31047to31010,23,0,1041
31047to31011,6,0,1203
31047to31012,2,0,1101
31047to31013,27,0,1206
31047to31014,2,0,3371
31047to31015,1,0,3186
31047to31041,152,0,652
31047to31042,431,1,557
31047to31043,837,26,322
31047to31044,223,5,395
31047to31045,103,4,354
31047to31046,160,10,190
31047to31048,178,1,421
31047to31052,3,0,1095
31047to31054,2,0,2196
31047to31055,5,0,1423
31047to31056,1,0,1107
31047to31057,4,0,1399
31047to31059,2,0,1306
31047to31060,4,0,1487
31047to31064,3,0,1222
31047to31106,1,0,3747
31047to31216,2,0,2952
31047to31218,1,0,2866
31047to31222,1,0,2875
31047to31227,9,0,3303
31047to31230,1,0,3582
31047to31235,3,0,2428
31047to31246,1,0,3829
31047to31249,16,0,1815
31047to31258,1,0,2227
31047to31263,1,0,3294
31047to31271,6,0,2591
31047to31306,1,0,7426
31047to31506,1,0,3675
31048to31001,2,0,2000
31048to31002,9,0,1516
31048to31005,2,0,3137
31048to31006,1,0,1720
31048to31008,1,0,1777
31048to31009,3,0,1403
31048to31010,9,0,1305
31048to31011,2,0,949
31048to31012,3,0,3024
31048to31032,1,0,1805
31048to31041,462,9,571
31048to31042,898,17,505
31048to31043,105,1,652
31048to31044,1201,25,315
31048to31045,420,11,241
31048to31046,40,0,525
31048to31047,170,2,484
31048to31052,1,0,1697
31048to31055,2,0,1051
31048to31059,3,0,1393
31048to31060,3,0,1586
31048to31064,3,0,1417
31048to31212,1,0,6303
31048to31214,1,0,4336
31048to31217,1,0,2974
31048to31240,2,0,3543
31048to31246,7,0,5022
31048to31247,1,0,2700
31048to31249,9,0,2743
31048to31256,1,0,3399
31048to31258,12,0,2726
31048to31261,1,0,2735
31048to31616,1,0,2889
31048to31624,1,0,3625
31049to31003,1,0,1633
31049to31008,1,0,2289
31049to31014,5,0,1150
31049to31015,41,1,910
31049to31016,3,0,829
31049to31017,16,0,794
31049to31018,10,0,794
31049to31019,12,0,630
31049to31020,11,0,866
31049to31021,30,0,623
31049to31022,25,0,643
31049to31023,167,0,440
31049to31024,105,3,300
31049to31025,82,7,189
31049to31026,22,0,583
31049to31027,1,0,1032
31049to31028,10,0,921
31049to31029,1,0,696
31049to31030,9,0,948
31049to31031,7,0,841
31049to31032,5,0,616
31049to31033,16,1,391
31049to31034,50,2,139
31049to31035,54,2,479
31049to31036,30,0,399
31049to31037,80,6,137
31049to31038,29,3,111
31049to31039,187,6,260
31049to31040,64,52,283
31049to31045,1,0,4166
31049to31050,4,0,666
31049to31053,3,0,1358
31049to31067,2,0,1236
31049to31200,2,0,1912
31049to31209,5,0,2568
31049to31215,8,0,1452
31049to31224,1,0,2628
31049to31225,7,0,1439
31049to31231,1,0,2792
31049to31235,1,0,1725
31049to31237,1,0,1714
31049to31240,1,0,4222
31049to31246,1,0,1402
31049to31247,3,0,2743
31049to31248,2,0,1964
31049to31249,2,0,2630
31049to31251,1,0,1757
31049to31258,1,0,2506
31049to31302,1,0,2285
31049to31304,1,0,2561
31049to31306,1,0,2028
31049to31312,5,0,1537
31049to31503,3,0,2870
31049to31509,1,0,2511
31049to31628,4,0,2493
31050to31002,1,0,1636
31050to31005,1,0,1175
31050to31006,3,0,1713
31050to31008,1,0,1819
31050to31014,23,2,576
31050to31015,20,0,452
31050to31016,13,0,397
31050to31017,117,2,291
31050to31018,3,0,318
31050to31019,22,2,300
31050to31020,40,1,204
31050to31021,85,3,271
31050to31022,196,1,312
31050to31023,10,0,397
31050to31024,9,0,481
31050to31025,5,1,573
31050to31026,20,2,227
31050to31028,4,0,468
31050to31029,2,0,421
31050to31030,9,0,336
31050to31031,3,1,385
31050to31032,5,1,386
31050to31033,4,0,549
31050to31034,44,0,612
31050to31035,19,0,835
31050to31037,147,0,625
31050to31038,29,0,820
31050to31039,32,0,766
31050to31040,23,0,409
31050to31047,1,0,3103
31050to31053,54,0,775
31050to31054,5,0,991
31050to31058,5,0,1150
31050to31065,5,0,178
31050to31067,9,0,992
31050to31100,3,0,1345
31050to31107,1,0,1816
31050to31200,1,0,1436
31050to31202,1,0,1618
31050to31204,1,0,1255
31050to31205,2,0,1448
31050to31213,4,0,1788
31050to31215,3,0,1114
31050to31220,3,0,1243
31050to31224,2,0,1373
31050to31225,14,0,1012
31050to31227,8,0,1354
31050to31234,1,0,1356
31050to31236,1,0,1345
31050to31237,1,0,1148
31050to31239,1,0,1896
31050to31240,1,0,924
31050to31242,1,0,1957
31050to31246,7,0,942
31050to31247,2,0,1405
31050to31249,4,0,1743
31050to31250,1,0,1529
31050to31253,2,0,1210
31050to31257,2,0,1235
31050to31258,4,0,1155
31050to31259,1,0,1319
31050to31260,1,0,1215
31050to31261,22,0,1158
31050to31312,2,0,1059
31050to31609,1,0,2535
31051to31002,12,0,1686
31051to31003,1,0,1837
31051to31005,1,0,1957
31051to31006,3,0,1644
31051to31007,1,0,2745
31051to31011,1,0,1769
31051to31014,69,0,382
31051to31015,302,2,236
31051to31016,51,2,235
31051to31017,28,0,370
31051to31018,42,0,131
31051to31019,8,0,646
31051to31020,6,0,439
31051to31021,10,0,698
31051to31022,12,0,735
31051to31023,7,0,643
31051to31024,10,0,874
31051to31026,4,0,809
31051to31027,6,0,266
31051to31028,4,0,522
31051to31029,1,0,90235
31051to31030,1,0,542
31051to31031,24,0,140
31051to31033,3,0,1019
31051to31034,5,0,814
31051to31035,3,0,1167
31051to31036,1,0,1157
31051to31037,2,0,1115
31051to31038,1,0,1378
31051to31039,1,0,1044
31051to31050,11,0,537
31051to31053,1,0,1832
31051to31055,1,0,2382
31051to31069,1,0,1029
31051to31100,5,0,1164
31051to31102,1,0,3399
31051to31108,2,0,1616
31051to31110,1,0,1178
31051to31200,1,0,1429
31051to31203,17,0,1539
31051to31204,3,0,1102
31051to31205,21,0,1108
31051to31209,3,0,2073
31051to31212,1,0,1583
31051to31215,9,0,1176
31051to31216,1,0,1248
31051to31217,2,0,1428
31051to31220,2,0,1015
31051to31222,2,0,1506
31051to31224,1,0,1460
31051to31225,234,0,588
31051to31227,1,0,1437
31051to31231,3,0,1432
31051to31236,85,1,798
31051to31237,5,0,944
31051to31239,19,0,1359
31051to31240,9,0,953
31051to31241,1,0,2157
31051to31243,4,0,1609
31051to31246,9,0,1000
31051to31247,6,0,1333
31051to31248,21,0,1436
31051to31249,7,0,1691
31051to31250,5,1,1315
31051to31251,1,0,1770
31051to31252,2,0,1416
31051to31257,10,0,1148
31051to31258,42,3,973
31051to31259,1,0,1363
31051to31260,53,0,1027
31051to31261,3,0,1029
31051to31264,3,0,1887
31051to31266,1,0,1750
31051to31267,1,0,1398
31051to31503,2,0,2514
31051to31506,1,0,1407
31051to31600,2,0,3105
31051to31619,1,0,2588
31051to31624,1,0,1804
31052to31000,10,0,578
31052to31001,65,0,617
31052to31002,126,7,375
31052to31003,43,0,503
31052to31004,1,0,648
31052to31005,9,0,810
31052to31006,6,0,911
31052to31007,235,3,408
31052to31008,13,1,875
31052to31009,70,2,164
31052to31010,31,22,60
31052to31011,134,3,304
31052to31012,52,3,249
31052to31013,36,1,488
31052to31014,3,0,2260
31052to31041,16,0,1509
31052to31043,2,0,1435
31052to31044,4,0,1576
31052to31045,1,0,1322
31052to31046,2,0,1441
31052to31047,13,0,1131
31052to31048,2,0,1355
31052to31055,2,0,560
31052to31056,2,0,621
31052to31057,4,0,862
31052to31060,4,0,1190
31052to31219,1,0,1811
31052to31221,1,0,4828
31052to31222,3,0,1614
31052to31226,2,0,3629
31052to31231,1,0,1521
31052to31240,3,0,1347
31052to31242,2,0,2492
31052to31247,6,0,1459
31052to31248,3,0,1642
31052to31249,21,0,1433
31052to31260,1,0,1784
31052to31261,1,0,1511
31052to31623,1,0,2621
31053to31000,5,0,948
31053to31001,11,0,650
31053to31002,4,1,941
31053to31003,6,0,831
31053to31005,57,0,742
31053to31006,169,3,515
31053to31007,4,0,1130
31053to31008,8,0,806
31053to31011,3,0,970
31053to31013,5,0,967
31053to31014,2,0,1669
31053to31015,1,0,1123
31053to31016,5,0,1098
31053to31017,10,0,978
31053to31018,1,0,1373
31053to31019,3,0,1011
31053to31020,5,0,1044
31053to31021,22,0,825
31053to31022,28,0,894
31053to31023,3,0,1235
31053to31024,1,0,1022
31053to31025,1,0,1173
31053to31026,35,0,894
31053to31027,1,0,991
31053to31028,1,0,1154
31053to31031,3,0,1355
31053to31032,10,0,748
31053to31034,1,0,990
31053to31035,5,0,1074
31053to31036,1,0,1864
31053to31037,4,0,1147
31053to31038,15,0,1184
31053to31039,5,0,1119
31053to31040,15,0,999
31053to31049,1,0,1150
31053to31050,9,0,824
31053to31051,1,0,897
31053to31054,18,1,454
31053to31055,2,0,1124
31053to31056,1,0,1482
31053to31057,3,0,1071
31053to31058,20,0,700
31053to31060,5,0,970
31053to31061,12,0,662
31053to31062,1,0,689
31053to31063,2,0,847
31053to31065,1,0,857
31053to31066,6,2,193
31053to31067,7,0,301
31053to31100,1,0,2752
31053to31106,2,0,2448
31053to31204,1,0,1218
31053to31206,3,0,1282
31053to31215,13,0,1326
31053to31216,1,0,1354
31053to31224,1,0,1463
31053to31225,8,1,1741
31053to31227,1,0,2056
31053to31230,2,0,1647
31053to31231,1,0,1656
31053to31235,2,0,1088
31053to31236,1,0,1462
31053to31237,13,0,1571
31053to31238,3,0,1566
31053to31240,2,0,890
31053to31243,8,0,1444
31053to31245,1,0,2253
31053to31246,1,0,1542
31053to31248,1,0,1289
31053to31249,4,0,1685
31053to31251,1,0,2579
31053to31255,5,0,1565
31053to31258,92,0,1013
31053to31261,5,0,1337
31053to31265,1,0,3477
31053to31312,1,0,1602
31054to31001,1,0,1232
31054to31005,1,0,746
31054to31006,1,0,1081
31054to31010,6,0,1555
31054to31011,1,0,4876
31054to31013,1,0,1336
31054to31015,1,0,1073
31054to31017,3,0,1194
31054to31020,1,0,9360
31054to31021,1,0,1366
31054to31022,2,0,868
31054to31023,2,0,1103
31054to31025,1,0,1293
31054to31026,5,0,1170
31054to31028,1,0,1458
31054to31036,1,0,1288
31054to31037,1,0,1254
31054to31039,1,0,1328
31054to31050,1,0,1016
31054to31052,1,0,1913
31054to31053,16,2,460
31054to31055,2,0,734
31054to31057,4,0,748
31054to31058,1,0,244
31054to31060,14,2,710
31054to31062,4,0,1686
31054to31063,3,0,653
31054to31066,1,0,531
31054to31067,22,1,172
31054to31204,6,0,1669
31054to31225,2,0,1682
31054to31243,2,0,2483
31054to31244,1,0,3850
31054to31250,1,0,1583
31054to31258,2,0,1266
31054to31261,1,0,1494
31055to31001,5,0,1082
31055to31002,4,0,971
31055to31003,1,0,986
31055to31004,1,0,711
31055to31005,16,0,764
31055to31006,30,0,697
31055to31007,7,0,872
31055to31008,4,0,885
31055to31009,5,0,753
31055to31010,10,0,754
31055to31011,7,0,982
31055to31012,2,0,818
31055to31013,8,0,936
31055to31014,4,0,2220
31055to31017,1,0,2004
31055to31026,3,0,2150
31055to31031,1,0,2347
31055to31032,1,0,1085
31055to31037,2,0,1874
31055to31041,15,0,1406
31055to31045,6,0,1232
31055to31047,3,0,1589
31055to31048,4,0,1580
31055to31056,63,2,217
31055to31057,8,0,577
31055to31059,4,0,1033
31055to31060,27,0,698
31055to31061,2,0,770
31055to31063,2,0,904
31055to31205,1,0,2080
31055to31232,1,0,2873
31055to31235,1,0,3311
31055to31249,7,0,1697
31055to31258,1,0,1961
31056to31001,1,0,1289
31056to31002,1,0,964
31056to31003,1,0,1095
31056to31004,5,1,996
31056to31005,16,0,900
31056to31006,32,1,709
31056to31007,14,0,792
31056to31009,5,0,726
31056to31011,5,0,910
31056to31013,1,0,787
31056to31023,1,0,2190
31056to31027,2,0,2332
31056to31031,1,0,2351
31056to31045,2,0,1216
31056to31046,1,0,1943
31056to31055,38,4,183
31056to31057,5,0,533
31056to31059,2,0,901
31056to31060,31,0,647
31056to31205,8,0,1820
31056to31233,7,0,2513
31056to31249,4,0,1691
31056to31257,1,0,1790
31056to31258,5,0,1542
31056to31269,1,0,4677
31057to31000,3,0,1314
31057to31001,19,0,1227
31057to31002,42,0,1477
31057to31004,2,0,1401
31057to31005,10,0,1176
31057to31006,3,0,1031
31057to31007,6,0,1372
31057to31008,1,0,1156
31057to31009,8,0,964
31057to31010,26,0,967
31057to31011,4,0,1006
31057to31012,2,0,1381
31057to31013,2,0,1148
31057to31014,4,0,2272
31057to31025,3,0,3149
31057to31026,1,0,1348
31057to31032,1,0,1969
31057to31036,16,0,1818
31057to31037,3,0,1916
31057to31038,2,0,3924
31057to31039,3,0,1165
31057to31041,1,0,2770
31057to31042,2,0,2387
31057to31047,2,0,1309
31057to31048,2,0,1804
31057to31052,3,0,1418
31057to31053,2,0,1045
31057to31055,8,0,421
31057to31056,2,0,1001
31057to31058,1,0,939
31057to31060,17,6,208
31057to31061,4,0,266
31057to31062,3,0,618
31057to31063,5,0,718
31057to31064,1,0,667
31057to31066,1,0,888
31057to31069,1,0,1706
31057to31215,1,0,2777
31057to31216,1,0,3542
31057to31231,1,0,2476
31057to31242,1,0,5661
31057to31247,1,0,2603
31057to31249,3,0,1715
31057to31258,1,0,2390
31058to31005,1,0,1427
31058to31006,3,0,1193
31058to31010,1,0,1318
31058to31022,3,0,1235
31058to31024,4,0,1324
31058to31025,2,0,1015
31058to31026,1,0,1226
31058to31032,1,0,1031
31058to31034,2,0,1238
31058to31035,2,0,808
31058to31036,2,0,2573
31058to31037,9,0,1188
31058to31038,1,0,1049
31058to31039,2,0,1210
31058to31053,11,2,556
31058to31060,10,1,808
31058to31062,1,0,2706
31058to31063,5,0,516
31058to31065,1,0,1117
31058to31067,1,0,368
31058to31068,5,0,495
31058to31100,1,0,2513
31058to31205,4,0,2113
31058to31215,1,0,2208
31058to31258,1,0,1561
31059to31002,8,0,1614
31059to31003,5,0,1496
31059to31004,5,0,1520
31059to31005,2,0,1578
31059to31006,5,0,1351
31059to31007,2,0,1643
31059to31009,1,0,1010
31059to31011,1,0,1346
31059to31024,2,0,1768
31059to31036,1,0,2235
31059to31041,1,0,1333
31059to31042,1,0,1186
31059to31043,2,0,1352
31059to31045,1,0,1050
31059to31047,1,0,1128
31059to31048,7,0,1249
31059to31054,1,0,1433
31059to31055,8,0,647
31059to31060,16,1,500
31059to31064,7,0,365
31059to31108,1,0,3970
31059to31213,1,0,2680
31059to31233,1,0,2769
31059to31244,1,0,2540
