name,number,latitude,longitude,installdate
14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,1289970000
Florida Ave & R St NW,31503,38.9126,-77.0135,1290056400
17th & Corcoran St NW,31214,38.9121,-77.0387,1294078980
Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,1294164840
Lynn & 19th St North,31014,38.897315,-77.070993,1302957060
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,1302957120
Clarendon Blvd & Pierce St,31016,38.893648,-77.076701,1302957960
N Rhodes & 16th St N,31018,38.892164,-77.079375,1302963480
14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,1303306260
17th & K St NW / Farragut Square,31233,38.902061,-77.038322,1304022480
8th & F St NW / National Portrait Gallery,31232,38.896901,-77.022921,1304108940
4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,1304481600
Metro Center / 12th & G St NW,31230,38.898364,-77.027869,1305259200
Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,1305288720
17th & K St NW,31213,38.90276,-77.03863,1306236960
Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,1309008600
Fairfax Village,31706,38.86559,-76.952103,1311771600
20th & Bell St,31000,38.8561,-77.0512,1316059200
Court House Metro / Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,1320933600
Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,1321015980
Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,1321625100
17th & Rhode Island Ave NW,31239,38.906602,-77.038785,1321639800
Thomas Circle,31241,38.9059,-77.0325,1321714320
Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,1321981080
Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,1321983480
18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,1322571600
7th & R St NW / Shaw Library,31245,38.912719,-77.022155,1322583120
3rd & G St SE,31625,38.881185,-77.001828,1322661660
Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,1322715600
4th & E St SW,31244,38.88412,-77.017445,1322756880
1st & Rhode Island Ave NW,31506,38.915417,-77.012289,1323178380
9th & Upshur St NW,31404,38.9418,-77.0251,1323194880
Columbia Rd & Georgia Ave NW,31115,38.928156,-77.02344,1323234000
11th & H St NE,31614,38.899983,-76.991383,1323666000
6th & H St NE,31615,38.900384,-76.99831,1323696720
California St & Florida Ave NW,31116,38.917761,-77.04062,1323752400
Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,1324402320
Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,1324404360
M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,1324485480
3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,1324496640
15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,1324565040
Congress Heights Metro,31806,38.844711,-76.987823,1324581180
Maryland & Independence Ave SW,31243,38.887299,-77.018939,1327669020
1st & K St SE,31628,38.87861,-77.006004,1328717220
20th & O St NW / Dupont South,31234,38.908905,-77.04478,1328850000
39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,1328898300
1st & Washington Hospital Center NW,31507,38.928743,-77.012457,1329153540
Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,1329493920
Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,1329508980
Washington Blvd & 10th St N,31026,38.884734,-77.093485,1329944340
D St & Maryland Ave NE,31612,38.894758,-76.997114,1330094460
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,1331904960
Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,1331911860
Smithsonian / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,1333369620
Key Blvd & N Quinn St,31027,38.896015,-77.078107,1335195480
N Veitch & Key Blvd,31028,38.893241,-77.086045,1335202980
N Veitch  & 20th St N,31029,38.896923,-77.086502,1335213360
15th & N Scott St,31031,38.89054,-77.08095,1335362100
N Adams St & Lee Hwy,31030,38.89593,-77.089006,1335369060
Wilson Blvd & N Oakland St,31033,38.8815,-77.10396,1335387720
N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,1335542580
Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,1335545880
N Quincy St & Glebe Rd,31035,38.876393,-77.107735,1335552600
Washington Blvd & 7th St N,31032,38.880834,-77.091129,1335794400
George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,1335805380
Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,1335817440
Jefferson Memorial,31249,38.879819,-77.037413,1335969180
Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,1335981060
Glebe Rd & 11th St N,31038,38.883921,-77.116817,1337269200
N Quincy St & Wilson Blvd,31039,38.880151,-77.107673,1338301620
20th & L St NW,31250,38.903584,-77.044789,1340632500
12th & L St NW,31251,38.903819,-77.0284,1340639640
19th & K St NW,31253,38.902204,-77.04337,1340801880
21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,1340811180
15th & K St NW,31254,38.902,-77.03353,1341232920
24th & N St NW,31255,38.9066,-77.05152,1341575340
Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,1342033620
10th & E St NW,31256,38.895914,-77.026064,1342109700
22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,1342442220
Utah St & 11th St N,31049,38.883669,-77.113905,1342539420
Prince St & Union St,31041,38.803124,-77.040363,1346070420
Market Square / King St & Royal St,31042,38.804718,-77.043363,1346077680
Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,1346084880
King St & Patrick St,31044,38.805317,-77.049883,1346442900
Commerce St & Fayette St,31045,38.805648,-77.05293,1346442960
Henry St & Pendleton St,31046,38.811456,-77.050276,1346442960
Braddock Rd Metro,31047,38.814577,-77.052808,1346442960
King St Metro,31048,38.805767,-77.06072,1346443020
Barton St & 10th St N,31050,38.884961,-77.08777,1346771820
Arlington Blvd & N Queen St,31051,38.889365,-77.077294,1346776740
Lincoln Memorial,31258,38.888251,-77.049426,1349268360
Potomac Ave & 35th St S,31052,38.844015,-77.050537,1351092960
21st St & Constitution Ave NW,31261,38.892459,-77.046567,1359639120
20th St & Virginia Ave NW,31259,38.894722,-77.045128,1359646980
23rd & E St NW,31260,38.896104,-77.049882,1359652440
11th & F St NW,31262,38.897857,-77.026975,1359981840
Fessenden St & Wisconsin Ave NW,31309,38.954812,-77.082426,1360588560
39th & Veazey St NW,31308,38.943837,-77.077078,1360598160
M St & Delaware Ave NE,31627,38.905707,-77.003041,1360929900
11th & K St NW,31263,38.90268,-77.02674,1360936140
Walter Reed Community Center / Walter Reed Dr & 16th St S,31054,38.857803,-77.086733,1364466180
28th St S & S Meade St,31055,38.846222,-77.069275,1364476320
Columbia Pike & S Courthouse Rd,31053,38.863833,-77.080319,1364482620
6th St & Indiana Ave NW,31264,38.894573,-77.01994,1364990040
11th & M St NW,31266,38.905607,-77.027137,1364995680
18th St & Wyoming Ave NW,31114,38.918809,-77.041571,1365003300
5th & Kennedy St NW,31403,38.956595,-77.019815,1365777420
Georgia Ave & Emerson St NW,31405,38.949662,-77.027333,1365783540
14th & Upshur St NW,31406,38.942016,-77.032652,1365794820
14th St & Colorado Ave NW,31407,38.956432,-77.032947,1365798900
S Troy St & 26th St S,31056,38.847977,-77.075104,1366725840
S Four Mile Run Dr & S Shirlington Rd,31057,38.8444,-77.085931,1366729200
S Oakland St & Columbia Pike,31058,38.860789,-77.09586,1366735380
S Abingdon St & 36th St S,31059,38.835213,-77.094295,1366739700
S Arlington Mill Dr & Campbell Ave,31060,38.84232,-77.089555,1366802400
Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,1366814880
S Kenmore & 24th St S,31061,38.848454,-77.084918,1366825140
Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,1366894140
Wisconsin Ave & O St NW,31312,38.90849,-77.063586,1366910820
5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,1367842440
17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,1367851920
15th & Euclid St  NW,31117,38.92333,-77.0352,1367856780
New Jersey Ave & R St NW,31509,38.912659,-77.017669,1368532680
15th & East Capitol St NE,31630,38.889908,-76.983326,1368541260
8th & East Capitol St NE,31629,38.889988,-76.995193,1368545580
8th & F St NE,31631,38.897274,-76.994749,1368552540
18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,1369915500
12th & Irving St NE,31511,38.928644,-76.990955,1369923120
15th & F St NE,31632,38.897195,-76.983575,1369928820
Alabama & MLK Ave SE,31800,38.843222,-76.999388,1370345160
Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,1370351820
34th St & Minnesota Ave SE,31709,38.884085,-76.957461,1370358840
Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,1371221640
13th & U St NW,31268,38.916794,-77.029779,1371231240
N Pershing Dr & Wayne St,31065,38.880705,-77.08596,1372680300
Columbia Pike & S Orme St,31066,38.867262,-77.072315,1372684620
S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,1372690500
S George Mason Dr & 13th St S,31062,38.854691,-77.100555,1372694040
S Stafford & 34th St S,31064,38.834108,-77.087323,1372701360
8th & D St NW,31270,38.894851,-77.02324,1374581640
3rd & Elm St NW,31118,38.917622,-77.01597,1374589740
3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,1374598740
Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,1375190280
Rhode Island Ave & V St NE,31513,38.918155,-77.004746,1375196700
Washington & Independence Ave SW/HHS,31272,38.88731,-77.01397,1375445040
Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887397,-77.026154,1375789680
Hamlin & 7th St NE,31514,38.927497,-76.997194,1376653440
Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,1377605340
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,1377776460
Pershing & N George Mason Dr,31069,38.871822,-77.107906,1377792000
Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,1380292560
E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,1380292560
Fenton St & New York Ave,32001,38.985404,-77.023082,1380292620
Bethesda Ave & Arlington Blvd,32002,38.981103,-77.097426,1380292620
Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,1380292620
13th St & Eastern Ave,32006,38.987,-77.029417,1380292680
Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,1380292680
Cordell & Norfolk Ave,32008,38.98954,-77.098029,1380292740
Frederick Ave & Horners Ln,32009,39.094772,-77.145213,1380292740
Philadelphia & Maple Ave,32010,38.98128,-77.011336,1380292740
Maple & Ritchie Ave,32011,38.983627,-77.006311,1380292800
Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,1380292800
Montgomery & East Ln,32013,38.983525,-77.095367,1380292800
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,1380292860
14th & Belmont St NW,31119,38.921074,-77.031887,1380719160
3rd & Tingey St SE,31634,38.87501,-77.0024,1380722700
10th & Florida Ave NW,31120,38.920387,-77.025672,1381320720
Potomac Ave & 8th St SE,31635,38.876737,-76.994468,1381333800
Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,1382100480
Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,1382107020
Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,1382111460
Fallsgove Dr & W Montgomery Ave,32016,39.099376,-77.188014,1382120580
Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,1382199120
Montgomery Ave & Waverly St,32003,38.983838,-77.09221,1382208480
47th & Elm St,32021,38.982456,-77.091991,1382208540
Battery Ln & Trolley Trail,32027,38.992375,-77.100104,1382712300
Norfolk & Rugby Ave,32028,38.990639,-77.100239,1382715180
Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,1382722080
Piccard & W Gude Dr,32033,39.102212,-77.177091,1382795700
Broschart & Blackwell Rd,32030,39.102099,-77.200322,1382798640
Taft St & E Gude Dr,32031,39.094103,-77.132954,1382804520
Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,1382809500
Fenton St & Gist Ave,32024,38.989724,-77.023854,1383054960
Garland Ave & Walden Rd,32022,39.000578,-77.00149,1383059580
Carroll & Westmoreland Ave,32025,38.975,-77.01121,1383065460
Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,1383070440
Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,1383135960
Ripley & Bonifant St,32034,38.992679,-77.029457,1383141360
Georgia Ave & Spring St,32035,38.999388,-77.031555,1383146520
East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,1383148920
Monroe St & Monroe Pl,32017,39.083705,-77.149443,1383309240
King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,1383318120
King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,1383323580
Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,1383657120
New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,1383662880
Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,1383923280
Deanwood Rec Center,31711,38.908473,-76.933099,1383923280
Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,1383929160
Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,1384355760
Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,1384367940
Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,1384520760
Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,1384527780
Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,1386766320
Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,31074,38.869675,-77.093586,1386774900
North Capitol St & G Pl NE,31637,38.899703,-77.008911,1386954360
Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,1386954480
